,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
0,1,United States of America,Merge Watermelon for watch,活鹏 麦,Entertainment,3.43,0.99,14,2024-12-30
1,2,United States of America,Countdown App,Ryan Boyling,Entertainment,3.05,0.99,35317,2024-12-30
2,3,United States of America,Strange Planet Stickers,"KED, LLC",Entertainment,4.5,1.99,287,2024-12-30
3,4,United States of America,Pocket God,Bolt Creative,Entertainment,4.28,0.99,2634,2024-12-30
4,5,United States of America,Number Puzzle Games 4 Watch,长金 胡,Entertainment,0.0,0.99,0,2024-12-30
5,6,United States of America,Spirit Talker Communicator ITC,Jose Martin,Entertainment,4.59,4.99,3764,2024-12-30
6,7,United States of America,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.49,8.99,175,2024-12-30
7,8,United States of America,Coloring Watch,Sydvesti Oy,Entertainment,4.29,4.99,1171,2024-12-30
8,9,United States of America,iSTB,Nihal Ahmed,Entertainment,4.54,14.99,1072,2024-12-30
9,10,United States of America,Universe Splitter,Aerfish LLC,Entertainment,4.67,1.99,1364,2024-12-30
10,11,United States of America,Ghost Science M3,Michael Weber,Entertainment,4.59,12.99,2135,2024-12-30
11,12,United States of America,Alien10,Saddiq Rahim,Entertainment,4.31,1.99,312,2024-12-30
12,13,United States of America,Stick Nodes Pro - Animator,"ForTheLoss Games, Inc",Entertainment,4.79,3.99,5416,2024-12-30
13,14,United States of America,GifJif - Custom Gif Creator,Max Shaw,Entertainment,4.89,0.99,12676,2024-12-30
14,15,United States of America,Spirit Box Radio,Michael Weber,Entertainment,4.31,7.99,13,2024-12-30
15,16,United States of America,GSE SMART IPTV PRO,droidvision,Entertainment,4.3,2.99,661,2024-12-30
16,17,United States of America,LaCuerda [PRO],NARROI WEBS SC,Entertainment,3.93,2.99,45,2024-12-30
17,18,United States of America,Vidi · Media Center,Plata o Plomo AB,Entertainment,4.76,4.99,59,2024-12-30
18,19,United States of America,Talking Carl,Tayasui.com,Entertainment,4.3,0.99,628,2024-12-30
19,20,United States of America,The Ultimate Buzzer Pro,Kevin Makens,Entertainment,4.62,0.99,774,2024-12-30
20,21,United States of America,DNA Transform!,Joao Gabriel Menezes,Entertainment,4.26,2.99,235,2024-12-30
21,22,United States of America,ARGun2018,"ShenZhen Lenze Technology Co,.Ltd.",Entertainment,2.7,0.99,63,2024-12-30
22,23,United States of America,Tarot!,"The Fool's Dog, LLC",Entertainment,4.88,3.99,1376,2024-12-30
23,24,United States of America,Tivimax IPTV Player (Premium),AFIFA CHAUHDARY,Entertainment,3.06,19.99,95,2024-12-30
24,25,United States of America,Dice Dice Pro,Lukas Lubbe,Entertainment,4.81,1.99,224,2024-12-30
25,1,United States of America,Merge Watermelon for watch,活鹏 麦,Entertainment,3.43,0.99,14,2024-12-31
26,2,United States of America,Countdown App,Ryan Boyling,Entertainment,3.05,0.99,35317,2024-12-31
27,3,United States of America,Pocket God,Bolt Creative,Entertainment,4.28,0.99,2634,2024-12-31
28,4,United States of America,Strange Planet Stickers,"KED, LLC",Entertainment,4.5,1.99,287,2024-12-31
29,5,United States of America,Spirit Talker Communicator ITC,Jose Martin,Entertainment,4.59,4.99,3764,2024-12-31
30,6,United States of America,Number Puzzle Games 4 Watch,长金 胡,Entertainment,0.0,0.99,0,2024-12-31
31,7,United States of America,Coloring Watch,Sydvesti Oy,Entertainment,4.29,4.99,1171,2024-12-31
32,8,United States of America,iSTB,Nihal Ahmed,Entertainment,4.54,14.99,1072,2024-12-31
33,9,United States of America,GifJif - Custom Gif Creator,Max Shaw,Entertainment,4.89,0.99,12676,2024-12-31
34,10,United States of America,Stick Nodes Pro - Animator,"ForTheLoss Games, Inc",Entertainment,4.79,3.99,5416,2024-12-31
35,11,United States of America,StbEmuTV (Pro),Junaid Muhammad,Entertainment,2.49,8.99,175,2024-12-31
36,12,United States of America,Alien10,Saddiq Rahim,Entertainment,4.31,1.99,312,2024-12-31
37,13,United States of America,Universe Splitter,Aerfish LLC,Entertainment,4.67,1.99,1364,2024-12-31
38,14,United States of America,GSE SMART IPTV PRO,droidvision,Entertainment,4.3,2.99,661,2024-12-31
39,15,United States of America,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,4.57,4.99,2701,2024-12-31
40,16,United States of America,PewPewPew - Fingergun,承远 李,Entertainment,3.94,0.99,17,2024-12-31
41,17,United States of America,Vidi · Media Center,Plata o Plomo AB,Entertainment,4.76,4.99,59,2024-12-31
42,18,United States of America,DNA Transform!,Joao Gabriel Menezes,Entertainment,4.26,2.99,235,2024-12-31
43,19,United States of America,LaCuerda [PRO],NARROI WEBS SC,Entertainment,3.93,2.99,45,2024-12-31
44,20,United States of America,The Ultimate Buzzer Pro,Kevin Makens,Entertainment,4.62,0.99,774,2024-12-31
45,21,United States of America,Ghost Science M3,Michael Weber,Entertainment,4.59,12.99,2135,2024-12-31
46,22,United States of America,Tarot!,"The Fool's Dog, LLC",Entertainment,4.88,3.99,1376,2024-12-31
47,23,United States of America,Himnario LLDM,Berea Internacional,Entertainment,4.45,8.99,136,2024-12-31
48,24,United States of America,Talking Carl,Tayasui.com,Entertainment,4.3,0.99,628,2024-12-31
49,25,United States of America,Blower,Qneo,Entertainment,4.54,1.99,1166,2024-12-31
50,1,United States of America,SkyView®,Terminal Eleven LLC,Education,4.59,2.99,7226,2024-12-30
51,2,United States of America,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,4.11,24.99,1823,2024-12-30
52,3,United States of America,Star Walk 2: Stars and Planets,Vito Technology Inc.,Education,4.72,2.99,64938,2024-12-30
